time,ARR1,ARR2,ARR3,ARR4,ARR5,ARR6,C1,C2,C3,C4,C5,C6,Fault_class
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,-0.254582815719339,-4.25970997626179e-06,4.259709976435e-06,-8.30910744902652e-06,-8.30910744906966e-06,-16.2210809951393,1,0,0,0,0,0,0
0.4,-0.14255107470142,-3.67024746382464e-07,6.72162681018613e-06,-6.119452195404e-05,-6.11945219540978e-05,-1.46361228260031,1,0,0,0,0,0,0
0.6,-0.10539348847321,-5.53835608310111e-06,-3.55930625404099e-07,-2.10413547514927e-05,-2.1041354751509e-05,3.48058846108691,1,0,0,0,0,0,0
0.8,-0.0564261733161071,-3.82016229690709e-07,3.13757809482406e-06,-4.40622215004767e-05,-4.40622215004917e-05,12.0177056553071,1,0,0,0,0,0,0
1,-0.0356924729390337,-2.0221078003143e-06,4.60323574768371e-07,-3.41118952522497e-05,-3.4111895252253e-05,14.4567910549847,1,0,0,0,0,0,0
1.2,-0.0280956168232482,-2.35178912392305e-06,-5.23493145617351e-07,-1.38283532279191e-05,-1.38283532279179e-05,15.5753918023319,1,0,0,0,0,1,0
1.4,-0.028626088558277,-2.51231398769542e-06,-1.08023217983469e-06,1.21666415963118e-05,1.21666415962751e-05,15.3705738373535,1,0,0,0,0,1,0
1.6,-0.017740607851051,-5.34669012490553e-08,9.55504677647336e-07,4.94456456268776e-06,4.94456456265365e-06,16.818470800537,1,0,0,0,0,1,0
1.8,-0.00586444286565903,6.66571292869474e-07,1.31313007697543e-06,-1.01348833565646e-05,-1.01348833565465e-05,17.4065584774391,0,0,0,0,0,1,0
2,-0.00130643803860771,-6.08878599024145e-08,3.70881589869188e-07,-1.26703090308428e-05,-1.26703090308108e-05,16.6144434610585,0,0,0,0,0,1,0
2.2,0.00442471063317294,3.85950452113285e-07,6.32591648098168e-07,-2.04065208645465e-05,-2.04065208645596e-05,16.4070009646673,0,0,0,0,0,1,0
2.4,0.00810497176989221,2.60491189215891e-07,3.7707269179596e-07,-2.52558309141682e-05,-2.52558309141543e-05,15.7617534378805,0,0,0,0,0,1,0
2.6,0.00399900756864609,-8.34269417085917e-07,-7.26814630962054e-07,-1.3700817420175e-05,-1.37008174201828e-05,13.9344945823343,0,0,0,0,0,1,0
2.8,0.0155783636529764,1.69550266426229e-06,1.61479587965721e-06,-3.83944913266063e-05,-3.83944913266056e-05,15.2494653346675,0,0,0,0,0,1,0
3,0.00509904569647768,-1.66830686065242e-06,-1.65364468453054e-06,-1.36907378339861e-05,-1.36907378340143e-05,11.9006253845321,0,0,0,0,0,1,0
3.2,-0.0186235366690715,-3.77394353199653e-06,-3.47932071673047e-06,4.0294861668888e-05,4.02948616688416e-05,7.67005756196559,0,0,0,0,0,1,0
3.4,-0.0285068918564612,-1.73631768251231e-06,-1.32282862108096e-06,6.30587691828738e-05,6.30587691828862e-05,6.34330653686893,0,0,0,0,0,1,0
3.6,-0.00054019289543587,4.20580591377422e-06,4.25708237177413e-06,3.66650703409466e-08,3.66650703473434e-08,10.5313199187765,0,0,0,0,0,1,0
3.8,-0.00479491246851022,-7.14023596690128e-07,-6.30180738257096e-07,1.00391022379046e-05,1.00391022379564e-05,7.10018603394065,0,0,0,0,0,1,0
4,-0.0131316396536128,-1.37294901417323e-06,-1.18786745897301e-06,2.91022186003337e-05,2.91022186003681e-05,5.17689697488615,0,0,0,0,0,1,0
4.2,-0.017462297801301,-7.88103578738646e-07,-5.48839200131682e-07,3.90540105388612e-05,3.90540105389128e-05,4.14468690982715,0,0,0,0,0,1,0
4.4,-0.019409931634362,-4.35097461655236e-07,-1.72437704128909e-07,4.35757124943021e-05,4.35757124943453e-05,3.24928959958844,0,0,0,0,0,1,0
4.6,-0.0179922001121547,8.6961497114209e-08,3.30275844075156e-07,4.04677979876449e-05,4.04677979876747e-05,2.81184165619462,0,0,0,0,0,1,0
4.8,-0.0171301655074317,1.14020856957424e-08,2.41425964360265e-07,3.85844533053422e-05,3.85844533053852e-05,2.14459610810377,0,0,0,0,0,1,0
5,-0.0136870074177199,4.26900612511589e-07,6.11718883303781e-07,3.08505534041813e-05,3.08505534042213e-05,2.03884128408756,0,0,0,0,0,0,0
5.2,0.00610302488041616,3.05092398007293e-06,2.98166373035871e-06,-1.40671647753405e-05,-1.40671647752974e-05,4.71833320979343,0,0,0,0,0,1,0
5.4,0.00484865827569335,-1.64713796437455e-07,-2.27752796089411e-07,-1.11451972920199e-05,-1.11451972919673e-05,2.98378060170293,0,0,0,0,0,1,0
5.6,0.0163655787624757,1.85974803323204e-06,1.6504592575053e-06,-3.72816095797081e-05,-3.72816095796642e-05,4.91663910834226,0,0,0,0,0,1,0
5.8,0.0188785571925347,5.03214794430085e-07,2.56419114579093e-07,-4.29377929260074e-05,-4.29377929259741e-05,4.60468725866583,0,0,0,0,0,1,0
6,0.0161091067993138,-3.18421710195844e-07,-5.31306975638948e-07,-3.66109738342541e-05,-3.66109738341792e-05,4.0325304727191,0,0,0,0,0,1,0
6.2,0.00475262177616937,-1.69404228411522e-06,-1.76185994443506e-06,-1.08791265458483e-05,-1.08791265457811e-05,2.28770742376011,0,0,0,0,0,1,0
6.4,-0.00155286728142252,-9.68914275394682e-07,-9.51554248420439e-07,3.42023124847252e-06,3.42023124853201e-06,1.81280718100933,0,0,0,0,0,1,0
6.6,-0.00346262471945718,-3.14459182868475e-07,-2.69913930865629e-07,7.77132369373082e-06,7.77132369378086e-06,1.66131307135557,0,0,0,0,0,0,0
6.8,-0.0153414865064574,-1.89730030303284e-06,-1.70198020938511e-06,3.45707703849937e-05,3.45707703849958e-05,-0.508706708081748,0,0,0,0,0,0,0
7,0.0116612899506834,4.19547649572989e-06,4.05262145038349e-06,-2.68427885252975e-05,-2.6842788525286e-05,4.57965234589092,0,0,0,0,0,0,0
7.2,0.0179604573059442,1.07018243542335e-06,8.35162019260997e-07,-4.1029577065073e-05,-4.10295770650752e-05,3.86054130220627,0,0,0,0,0,0,0
7.4,0.00504845080849211,-1.9319480196284e-06,-2.00587400427425e-06,-1.17094129121197e-05,-1.17094129121103e-05,1.34595350056148,0,0,0,0,0,0,0
7.6,-0.00670792548793218,-1.82943308597949e-06,-1.74824355096959e-06,1.49291883277282e-05,1.49291883277494e-05,0.128068049832955,0,0,0,0,0,0,0
7.8,-0.00605799792552012,5.37596238503751e-08,1.32682110599727e-07,1.35409815150693e-05,1.35409815151002e-05,0.778403208837467,0,0,0,0,0,0,0
8,0.00368568083793352,1.50264903154004e-06,1.45791577162128e-06,-8.50274336021215e-06,-8.5027433602298e-06,2.19401361567115,0,0,0,0,0,0,0
8.2,-0.000307335970399315,-6.10987064394128e-07,-6.09449543445049e-07,5.84362007803372e-07,5.84362007765461e-07,0.78612760378514,0,0,0,0,0,0,0
8.4,-0.0135139120371278,-2.0872455806892e-06,-1.91699386108502e-06,3.03990598685179e-05,3.03990598684906e-05,-1.31734732154899,0,0,0,0,0,0,0
8.6,-0.0184826925374926,-8.75364383346866e-07,-6.35968751292886e-07,4.16521182078333e-05,4.16521182078243e-05,-1.58582550414766,0,0,0,0,0,0,0
8.8,-0.0126797736281195,7.93689257266467e-07,9.62250719112935e-07,2.85777696658645e-05,2.85777696658462e-05,-0.614378202567219,0,0,0,0,0,0,0
9,0.00342433106774001,2.47132921494842e-06,2.43284294389179e-06,-7.93763286592337e-06,-7.93763286592181e-06,1.5457112536666,0,0,0,0,0,0,0
9.2,0.00178618099428802,-2.40652527298756e-07,-2.6561515240131e-07,-4.1680736465149e-06,-4.16807364654331e-06,0.201773037172749,0,0,0,0,0,0,0
9.4,0.0106639113600648,1.4195019010446e-06,1.28272897746112e-06,-2.42882988292836e-05,-2.42882988292888e-05,1.87480144383626,0,0,0,0,0,0,0
9.6,0.00176172768380124,-1.34129390393201e-06,-1.36929976777767e-06,-4.10580624676244e-06,-4.10580624676645e-06,-0.112255493069002,0,0,0,0,0,0,0
9.8,0.000908590067710822,-1.25896881762871e-07,-1.38696347916333e-07,-2.13570247919014e-06,-2.13570247917236e-06,0.349604712929853,0,0,0,0,0,0,0
10,0.00204195809159178,1.83970976690713e-07,1.57357516947801e-07,-4.67716044707323e-06,-4.67716044709981e-06,0.58955285324924,0,0,0,0,0,0,0
10.2,-0.0155922046621316,-2.76651601094821e-06,-2.57125565091422e-06,3.5066729741024e-05,3.50667297410156e-05,-2.50735570033303,0,0,0,0,0,0,0
10.4,-0.0340003377958313,-2.99573071873444e-06,-2.56072117937872e-06,7.6438865546709e-05,7.64388655466871e-05,-4.72925454952133,0,0,0,0,0,0,0
10.6,-0.0186846948978859,2.19211580029579e-06,2.4425920821892e-06,4.1929835761901e-05,4.19298357618404e-05,-1.40119544067418,0,0,0,0,0,0,0
10.8,-0.0141046786481272,5.95195358323486e-07,7.81172236755464e-07,3.16817011315891e-05,3.16817011315586e-05,-1.92176767235805,0,0,0,0,0,0,0
11,0.00251218256714603,2.54076709071516e-06,2.51400993321769e-06,-5.9550723764821e-06,-5.95507237650113e-06,0.489657172206916,0,0,0,0,0,0,0
11.2,0.00102139411603433,-2.249593791563e-07,-2.40138466871083e-07,-2.49205468115306e-06,-2.49205468115546e-06,-0.784315402259659,0,0,0,0,0,0,0
11.4,-0.00340448080299529,-6.97021051798392e-07,-6.551438388785e-07,7.57587185110351e-06,7.57587185109956e-06,-1.35399489717793,0,0,0,0,0,0,0
11.6,-0.00779849342339788,-7.1942817136469e-07,-6.19670168139731e-07,1.75465076789445e-05,1.75465076789433e-05,-1.79804357867486,0,0,0,0,0,0,0
11.8,0.00146800043202944,1.41624428123276e-06,1.40069927057186e-06,-3.42784310411008e-06,-3.4278431041119e-06,0.0452045560274354,0,0,0,0,0,0,0
12,0.00613969266708458,7.48670532020979e-07,6.69682072338972e-07,-1.39885889993757e-05,-1.39885889993859e-05,0.313218297249569,0,0,0,0,0,0,0
12.2,0.0129444962065038,1.11997826050034e-06,9.52452127650254e-07,-2.94194562240418e-05,-2.9419456224062e-05,1.33869004563437,0,0,0,0,0,0,0
12.4,0.0287081604497213,2.59860213235191e-06,2.22682397610418e-06,-6.53485325503155e-05,-6.53485325503361e-05,3.8907728952341,0,0,0,0,0,0,0
12.6,0.025511583355677,-3.22863473185024e-07,-6.61091101576279e-07,-5.8022220174651e-05,-5.80222201746405e-05,2.74054174298198,0,0,0,0,0,0,0
12.8,-0.00061101182128185,-3.95960114487312e-06,-3.96608262315968e-06,9.90702337495564e-07,9.90702337491946e-07,-1.13775567990524,0,0,0,0,0,0,0
13,0.000966211496334384,2.37945848123329e-07,2.24429893800249e-07,-2.45204716406377e-06,-2.45204716402576e-06,0.840863315513734,0,0,0,0,0,0,0
13.2,0.0160188980378398,2.39628830501988e-06,2.19092997741062e-06,-3.6607479677256e-05,-3.66074796771952e-05,3.31250796884835,0,0,0,0,0,0,0
13.4,0.000447051243742943,-2.36261037100881e-06,-2.37754643949581e-06,-1.31330005144057e-06,-1.31330005142037e-06,-0.203999049185388,0,0,0,0,0,0,0
13.6,4.99815970068167e-05,-6.60131087146298e-08,-6.80485742730989e-08,-3.15105834472522e-07,-3.1510583445759e-07,0.72273660500341,0,0,0,0,0,0,0
13.8,-0.0154639737228749,-2.44909263579794e-06,-2.25492583729656e-06,3.47099955691031e-05,3.47099955691355e-05,-1.98194683863532,0,0,0,0,0,0,0
14,-0.00650723419484017,1.3115337656912e-06,1.39998289336827e-06,1.45206305655837e-05,1.4520630565564e-05,0.30445516430067,0,0,0,0,0,0,0
14.2,-0.00933099977113512,-4.93021120796736e-07,-3.72686171729969e-07,2.09664993252985e-05,2.09664993253177e-05,-0.939598791537519,0,0,0,0,0,0,0
14.4,-0.0223596936498721,-2.11534468325741e-06,-1.8293173983206e-06,5.03375977177694e-05,5.03375977177889e-05,-3.15286309877253,0,0,0,0,0,0,0
14.6,-0.00923571343066282,1.92738484873796e-06,2.05362841091332e-06,2.0695836339638e-05,2.06958363396245e-05,-0.370142640925427,0,0,0,0,0,0,0
14.8,0.015585399232461,3.88880297458578e-06,3.69300325043496e-06,-3.57566485646873e-05,-3.5756648564749e-05,2.9392346804619,0,0,0,0,0,0,0
15,0.0170662523882671,3.29521762948022e-07,1.03960765655064e-07,-3.89842654647224e-05,-3.89842654648335e-05,1.776957217232,0,0,0,0,0,0,0
15.2,0.00963754025058559,-1.07117552000325e-06,-1.20266471244782e-06,-2.20537442119108e-05,-2.20537442119375e-05,0.681890202373473,0,0,0,0,0,0,0
15.4,0.0379858656336432,4.59613977483292e-06,4.10559708807754e-06,-8.68449897665899e-05,-8.68449897665434e-05,6.32442551693705,0,0,0,0,0,0,0
15.6,0.0185635852881226,-2.84105430617467e-06,-3.09758857391055e-06,-4.26271427780358e-05,-4.2627142777951e-05,1.58443148736086,0,0,0,0,0,0,0
15.8,0.0238611635460901,9.55134318437727e-07,6.41250177478824e-07,-5.45134755295932e-05,-5.45134755294854e-05,4.05755308560507,0,0,0,0,0,0,0
16,0.0238599765274642,1.4963906621052e-07,-1.66025801638911e-07,-5.43914634505288e-05,-5.43914634504127e-05,3.97546296543734,0,0,0,0,0,1,0
16.2,0.0237726790743319,1.38333697502862e-07,-1.75747036627943e-07,-5.41128918407617e-05,-5.41128918406409e-05,4.21717304059481,0,0,0,0,0,1,0
16.4,0.0167437473786434,-9.62827927944348e-07,-1.1872661351894e-06,-3.81037577318866e-05,-3.81037577317626e-05,3.23320452922075,0,0,0,0,0,1,0
16.6,-0.00279050815842849,-2.97809290535181e-06,-2.95212743038909e-06,6.0513768162591e-06,6.0513768163816e-06,0.444208452126599,0,0,0,0,0,0,0
16.8,0.00507386195556592,1.22409108820926e-06,1.15987854665721e-06,-1.16991440793243e-05,-1.16991440792047e-05,2.90009111574372,0,0,0,0,0,0,0
17,0.00576843394658457,1.39329684920578e-07,6.30077826812785e-08,-1.32057049824383e-05,-1.32057049823233e-05,2.38919857836698,0,0,0,0,0,0,0
17.2,-0.0106767563786799,-2.55925333081864e-06,-2.42808732108314e-06,2.39289519197321e-05,2.3928951919843e-05,-0.554237570912288,0,0,0,0,0,0,0
17.4,0.0215712051398416,5.07191922049969e-06,4.79948434774353e-06,-4.95713782630202e-05,-4.95713782629121e-05,5.88174226219016,0,0,0,0,0,0,0
17.6,0.0306933663166644,1.58429734374134e-06,1.18139521715861e-06,-7.0164125282563e-05,-7.01641252824577e-05,5.46760095673658,0,0,0,0,0,1,0
17.8,0.0211646427168093,-1.32097916456203e-06,-1.60618729877456e-06,-4.8369078603754e-05,-4.83690786036505e-05,3.53774075802533,0,0,0,0,0,1,0
18,0.00256055398444399,-2.80985536395591e-06,-2.85453654332241e-06,-6.19324488449143e-06,-6.19324488439115e-06,1.1475304132994,0,0,0,0,0,1,0
18.2,-0.00448446673522847,-1.10501533605202e-06,-1.05111894906666e-06,9.86086340723083e-06,9.86086340732938e-06,1.04278541158359,0,0,0,0,0,0,0
18.4,-0.00596537589177623,-2.69451526325378e-07,-1.92961195499345e-07,1.33038882516958e-05,1.33038882517928e-05,1.00600704421531,0,0,0,0,0,0,0
18.6,-0.00389277810430932,2.84978705898495e-07,3.362968466351e-07,8.67800522168653e-06,8.6780052217824e-06,1.20256012378933,0,0,0,0,0,0,0
18.8,-0.0112480384181389,-1.18954226547321e-06,-1.04603630827255e-06,2.53236384573905e-05,2.53236384574856e-05,-0.409066685671926,0,0,0,0,0,0,0
19,-0.0164980064444858,-9.04315918895378e-07,-6.90894801795123e-07,3.72012315345191e-05,3.72012315346144e-05,-1.11396273584257,0,0,0,0,0,0,0
19.2,-0.0160876986547061,-4.52140027134458e-08,1.6565073241907e-07,3.63044857637461e-05,3.63044857638408e-05,-1.04758559725935,0,0,0,0,0,0,0
19.4,-0.0198371062949321,-6.97906446110855e-07,-4.39823454579743e-07,4.47757758675777e-05,4.47757758676726e-05,-2.04106198473307,0,0,0,0,0,0,0
19.6,-0.00113807987735381,2.83541617930311e-06,2.85803429170069e-06,2.38357838478444e-06,2.38357838487839e-06,1.10558931092089,0,0,0,0,0,0,0
19.8,-0.00992766893923553,-1.39931052400062e-06,-1.27408974120621e-06,2.2289136985906e-05,2.22891369859993e-05,-1.70794589826275,0,0,0,0,0,0,0
20,1.18518188307343e-05,1.50725566539275e-06,1.51085096381536e-06,-1.83030446109014e-07,-1.83030446016176e-07,0.458229206256822,0,0,0,0,0,0,0
20.2,0.0230029593333987,3.71418224943587e-06,3.09407870729668e-06,-5.08758650378213e-05,-5.08758650377522e-05,4.01760537403001,0,0,0,0,0,0,0
20.4,0.00554435749807454,-2.4117999790178e-06,-2.73461281207252e-06,-1.25567914844704e-05,-1.25567914843879e-05,-0.304303200591145,0,0,0,0,0,0,0
20.6,0.00930057772937316,6.85880035683021e-07,4.01776669741751e-07,-2.06552474338686e-05,-2.06552474337896e-05,1.41969719541021,0,0,0,0,0,0,0
20.8,-0.000111031021387752,-1.327997943084e-06,-1.44621227165637e-06,9.2019985615334e-10,9.20199921869544e-10,-0.392591437000144,0,0,0,0,0,0,0
21,-0.00241364949039344,-3.18202821014154e-07,-3.67984712814165e-07,5.11012377228733e-06,5.1101237722975e-06,-0.260234767606088,0,0,0,0,0,0,0
