time,I_cell,T_stack,P_ano,P_cat,m_dot_Osep,m_dot_Hsep,C1,C2,C3,C4,C5,C6,Fault_class
0,1.09464641985348e-09,298,108500.000000006,1105000,0.017000000000012,0.0100000000000017,0,0,0,0,0,0,0
0.2,22.2407339140361,301.550295867987,108496.888601991,1105003.11139801,0.0169937772039826,0.0100062227960174,1,0,0,0,0,0,0
0.4,22.982304427523,304.259955594643,108496.669622003,1105003.330378,0.0169933392440056,0.0100066607559944,1,0,0,0,0,0,0
0.6,23.5340768579678,306.256253930845,108496.588588706,1105003.41141129,0.0169931771774127,0.0100068228225852,1,0,0,0,0,0,0
0.8,23.9434548624825,307.727033434992,108496.528459285,1105003.47154072,0.0169930569185691,0.0100069430814325,1,0,0,0,0,0,0
1,24.2465859025009,308.810655683157,108496.483931221,1105003.51606878,0.0169929678624413,0.0100070321375565,1,0,0,0,0,0,0
1.2,24.4707335488951,309.609044049681,108496.451003152,1105003.54899685,0.0169929020063036,0.0100070979936972,1,0,0,0,0,1,0
1.4,24.6363145922944,310.197284390374,108496.426677578,1105003.57332242,0.0169928533551554,0.0100071466448452,1,0,0,0,0,1,0
1.6,24.7585454728,310.630694019924,108496.408719987,1105003.59128001,0.0169928174399749,0.0100071825600242,1,0,0,0,0,1,0
1.8,24.8487296700054,310.950027613945,108496.395470225,1105003.60452977,0.0169927909404502,0.0100072090595501,0,0,0,0,0,1,0
2,24.9152447000266,311.185311587884,108496.385697738,1105003.61430226,0.016992771395476,0.010007228604524,0,0,0,0,0,1,0
2.2,24.964289448628,311.358668563232,108496.378491918,1105003.62150808,0.0169927569838361,0.0100072430161639,0,0,0,0,0,1,0
2.4,25.0004454211936,311.486398060616,108496.373179711,1105003.62682029,0.0169927463594215,0.0100072536405783,0,0,0,0,0,1,0
2.6,25.0270959126406,311.580509356356,108496.369264067,1105003.63073593,0.0169927385281341,0.0100072614718659,0,0,0,0,0,1,0
2.8,25.046737865581,311.649850786321,108496.366378144,1105003.63362186,0.0169927327562873,0.0100072672437128,0,0,0,0,0,1,0
3,25.0612132643048,311.700941761861,108496.364251316,1105003.63574868,0.016992728502632,0.0100072714973679,0,0,0,0,0,1,0
3.2,25.0718804960472,311.738585770372,108496.362684007,1105003.63731599,0.016992725368014,0.0100072746319861,0,0,0,0,0,1,0
3.4,25.0797410794496,311.766322019301,108496.361529069,1105003.63847093,0.0169927230581384,0.0100072769418616,0,0,0,0,0,1,0
3.6,25.0855332918557,311.786758199996,108496.360678031,1105003.63932197,0.0169927213560626,0.0100072786439374,0,0,0,0,0,1,0
3.8,25.0898012912843,311.801815664495,108496.360050942,1105003.63994906,0.0169927201018844,0.0100072798981156,0,0,0,0,0,1,0
4,25.092946119962,311.812910070114,108496.359588878,1105003.64041112,0.0169927191777562,0.0100072808222438,0,0,0,0,0,1,0
4.2,25.0952633241371,311.821084477723,108496.359248415,1105003.64075158,0.0169927184968303,0.0100072815031696,0,0,0,0,0,1,0
4.4,25.0969706943085,311.827107418345,108496.358997554,1105003.64100245,0.0169927179951081,0.0100072820048919,0,0,0,0,0,1,0
4.6,25.0982287161674,311.831545148649,108496.358812715,1105003.64118729,0.0169927176254297,0.0100072823745703,0,0,0,0,0,1,0
4.8,25.0991556453512,311.834814888884,108496.358676523,1105003.64132348,0.0169927173530452,0.0100072826469548,0,0,0,0,0,1,0
5,25.0998386180697,311.837224048724,108496.358576174,1105003.64142383,0.0169927171523489,0.0100072828476511,0,0,0,0,0,0,0
5.2,25.100341839353,311.838999128969,108496.358502237,1105003.64149776,0.0169927170044738,0.0100072829955262,0,0,0,0,0,1,0
5.4,25.1007126172138,311.840307016429,108496.358447759,1105003.64155224,0.0169927168955181,0.0100072831044819,0,0,0,0,0,1,0
5.6,25.1009858092033,311.841270674067,108496.358407619,1105003.64159238,0.0169927168152387,0.0100072831847613,0,0,0,0,0,1,0
5.8,25.1011870989555,311.841980701559,108496.358378044,1105003.64162196,0.0169927167560883,0.0100072832439117,0,0,0,0,0,1,0
6,25.1013354105244,311.842503853168,108496.358356253,1105003.64164375,0.0169927167125059,0.0100072832874941,0,0,0,0,0,1,0
6.2,25.101444687368,311.842889313746,108496.358340197,1105003.6416598,0.0169927166803941,0.0100072833196059,0,0,0,0,0,1,0
6.4,25.1015252031603,311.843173322924,108496.358328367,1105003.64167163,0.016992716656734,0.010007283343266,0,0,0,0,0,1,0
6.6,25.1015845276297,311.84338258223,108496.358319651,1105003.64168035,0.016992716639301,0.010007283360699,0,0,0,0,0,0,0
6.8,25.1016282382082,311.843536765477,108496.358313228,1105003.64168677,0.0169927166264564,0.0100072833735436,0,0,0,0,0,0,0
7,25.101660444385,311.843650368424,108496.358308496,1105003.6416915,0.0169927166169924,0.0100072833830076,0,0,0,0,0,0,0
7.2,25.101684174057,311.843734071614,108496.35830501,1105003.64169499,0.0169927166100192,0.0100072833899808,0,0,0,0,0,0,0
7.4,25.1017016581963,311.84379574452,108496.358302441,1105003.64169756,0.0169927166048814,0.0100072833951186,0,0,0,0,0,0,0
7.6,25.1017145405955,311.84384118541,108496.358300548,1105003.64169945,0.0169927166010958,0.0100072833989042,0,0,0,0,0,0,0
7.8,25.1017240324096,311.843874666473,108496.358299153,1105003.64170085,0.0169927165983066,0.0100072834016934,0,0,0,0,0,0,0
8,25.1017310260239,311.843899335478,108496.358298126,1105003.64170187,0.0169927165962515,0.0100072834037486,0,0,0,0,0,0,0
8.2,25.1017361789525,311.843917511719,108496.358297369,1105003.64170263,0.0169927165947372,0.0100072834052628,0,0,0,0,0,0,0
8.4,25.101739975655,311.843930904059,108496.358296811,1105003.64170319,0.0169927165936215,0.0100072834063785,0,0,0,0,0,0,0
8.6,25.1017427730834,311.843940771599,108496.3582964,1105003.6417036,0.0169927165927995,0.0100072834072005,0,0,0,0,0,0,0
8.8,25.101744834242,311.843948042048,108496.358296097,1105003.6417039,0.0169927165921938,0.0100072834078062,0,0,0,0,0,0,0
9,25.1017463529135,311.84395339895,108496.358295874,1105003.64170413,0.0169927165917475,0.0100072834082525,0,0,0,0,0,0,0
9.2,25.1017474718778,311.843957345941,108496.358295709,1105003.64170429,0.0169927165914187,0.0100072834085813,0,0,0,0,0,0,0
